KinkyDungeonCredits,크레딧
KDToggleSaveOutfit,세이브 파일 내에 복장 저장
KDToggleShowNPCSprites,맵에 무료 캐릭터 표시
KDToggleShowJailedNPCSprites,자세한 감옥 NPC(실험적)
KDToggleStruggleBars,투쟁 막대 표시
KDToggleAllowSusMods,의심스러운 모드 허용
KDToggleAutoLoadMods,자동으로 모드 로드(오프라인 전용)
KDToggleSpellBook,클래식 인벤토리 배경
KDToggleSkipIntro,인트로 스킵
KDToggleNoForceGreet,강제적인 인사 없음
KDToggleShowZoom,확대/축소 버튼 표시
KDToggleShowRestraintOnHover,탈출 호버에 구속 정보 표시
KDToggleForceWarnings,경고 항상 표시
KDToggleEnableMinimap,항상 미니맵 표시
KDToggleSound,사운드 켜기
KDToggleDrool,침/눈물
KDToggleDrawArmor,갑옷 그리기
KDToggleMusic,음악 활성화
KDToggleAsyncRendering,비동기 렌더링(베타)
KDToggleBloom,빛나는 & 빛나는
KDToggleTransparentUI,투명한 UI
KDToggleTurnCounter,턴 카운터
KDToggleStunFlash,기절 시 플래시 화면
KDToggleParticlesFX,맵 파티클
KDToggleArousalHearts,산만 입자
KDToggleVibeHearts,바이브 파티클
KDToggleGagParticles,개그 파티클 FX
KDToggleShowNPCStatuses,NPC 상태 표시
KDToggleShowSpellRange,주문 사거리 표시
KDToggleFancyWalls,트림 에지 월
KDToggleFancyShadows,안개 셰이더
KDToggleLightmapFilter,라이트 셰이더
KDToggleIntenseOrgasm,강렬한 'Let Go' VFX
KDToggleVibeSounds,장난감 SFX 활성화
KDToggleFullscreen,전체 화면 활성화
KDToggleHighResDisplacement,고해상도 왜곡(재시작 필요)
KDToggleHiResModel,하이 레졸루션 모델(재시작 불필요)
KDToggleGraphicsQuality,고품질 애니메이션
KDToggleEnemyAnimations,적 애니메이션
KDToggleLazyWalk,한 번의 클릭으로 이동(느려질 때)
KDToggleShiftLatch,래치 시프트 키
KDToggleCrotchRopeOption,팬티 아래 가랑이 밧줄
KDToggleChastityOption,팬티보다 순결
KDToggleChastityOption2,하네스보다 순결
KDToggleChastityBraOption,브래지어 위에 순결 브래지어
KDToggleSimpleColorPicker,심플한 색상 선택기
KDToggleCenter,중심 플레이어
KDToggleBuffSide,사이드에 버프 그리기
KDToggleShowPath,자동 길찾기 트래jectory 표시
KDToggleShowFacing,플레이어 정면 항상 표시
KDToggleShowSameCatSpells,더 많은 학습 가능 주문 표시
KDTogglePlayerAura,플레이어 버프 오라 표시
KDToggleEnemyAura,적 버프 오라 표시
KDToggleOutlineAura,미니멀리스트 적 오라
KDToggleNearestNeighbor,픽셀화된 GFX(재시작 필요)
KDToggleAutoCrouchOnTrip,넘어졌을 때 자동 쪼그리고 앉기
KDToggleRetroAnim,레트로 애니메이션
KDToggleFlipStatusBars,상태 표시줄 뒤집기
KDToggleHelper,우발적인 벽 클릭 감소
KDToggleNipples,젖꼭지 활성화
KDToggleNippleToysOption,브래지어 위에 니플 장난감을 보여주세요
KDToggleNippleToysHide,젖꼭지 클램프 숨기기
KDToggleNipplePiercingsHide,젖꼭지 피어싱 숨기기
KDToggleForcePalette,옷을 입지 않았을 때 기본 팔레트를 사용하십시오
KDToggleFlipPlayer,플립 플레이어 디스플레이
KDToggleGreyscaleBlindness,맹인 시 흑백
KDToggleFastFloaters,더 빠른 플로터 페이드
KDToggleNoDmgFloaters,손상 부유물 표시 안 함
KDToggleDynamicArmor,다이내믹 갑옷(갑옷 숨기기)
KDToggleHideFloatingWeapon,떠다니는 무기 표시 숨기기
KDToggleAutoloot,자동으로 상자에서 모두 가져오기
KDStatusTooltipEnemyBound10,무력화!
KDHelpless,무력화!
KDMissed,회피!
KDBlocked,차단!
KDBlockedRestraint,속박에 저항!
KDWallBump,당신은 벽에 부딪힙니다.
KDResolution,게임 해상도:
KDResolutionConfirm,해상도(재로드가 필요함):
KDVibeVolume,장난감 볼륨:
KDMusicVolume,음악 볼륨:
KDSfxVolume,SFX 볼륨:
KDAnimSpeed,애니메이션 시간:
KDGamma,맵 밝기:
KDSelectedFont,게임 폰트:
KDButtonFont,버튼 글꼴:
KinkyDungeonJourneyMap,여행
KDJourneyMap,여행
KinkyDungeonJourney,여정을 선택하세요. 게임 영역의 순서가 결정됩니다.
KinkyDungeonJourney0,스탠다드: 의도된 경험
KinkyDungeonJourney1,랜덤: 혼돈의 여정
KinkyDungeonJourney2,하드: 더 어려운 여정
KinkyDungeonStats,시작할때 함께할 특전을 선택하세요.
KinkyDungeonStats2,예비 포인트가 10개 이상 있으면 하드 모드가 시작되어 고유한 전리품을 얻을 수 있습니다.
KinkyDungeonStartGameAdv,고급 시작(특전 선택)
KinkyDungeonStartGameKinky,변태 시작
KinkyDungeonStartGameQuick,정상 시작
KinkyDungeonStatCost,포인트 비용: AMOUNT
KinkyDungeonStatPoints,사용 가능한 포인트: AMOUNT
KinkyDungeonStatResilientFoes,회복력 있는 적들
KinkyDungeonStatDescResilientFoes,적의 체력이 30% 더 높습니다.
KinkyDungeonStat0,강인함
KinkyDungeonStatDesc0,탈출 시 투쟁 옵션을 강화합니다.
KinkyDungeonStat1,무력함
KinkyDungeonStatDesc1,당신은 육체적으로 약합니다. 투쟁은 훨씬 덜 효과적입니다.
KinkyDungeonStat2,유연함
KinkyDungeonStatDesc2,"제거/잠금 해제 옵션이 약간 증가하고, 탈출은 선택을 제외하고 1.5배 빠르며, 발은 아이템/버클을 사용할 수 있습니다."
KinkyDungeonStat3,확고함
KinkyDungeonStatDesc3,제거 및 잠금 해제 작업에 대한 페널티를 받고 탈출이 0.75배 빠릅니다.
KinkyDungeonStat4,자물쇠 장인
KinkyDungeonStatDesc4,자물쇠 따기에 보너스를 받아 이전에는 불가능했던 높은 보안 잠금 장치를 선택할 수 있습니다.
KinkyDungeonStat5,우둔함
KinkyDungeonStatDesc5,당신은 어떻게 자물쇠를 따는지 모릅니다. 따기는 0.5배속이 되며 대부분의 고급 자물쇠를 딸 수 없습니다.
KinkyDungeonDamageTypesoul,초능력
KinkyDungeonStat6,초능력
KinkyDungeonStatDesc6,더 이상 열쇠와 곡괭이를 떨어뜨리지 않고 묶인 손으로 잠금을 해제할 수 있으며 아이템/물약을 위해 손이 필요하지 않습니다.
KinkyDungeonStat7,초심자
KinkyDungeonStatDesc7,1레벨 이상의 모든 주문은 주문 포인트의 2배가 필요합니다.
KinkyDungeonStat8,축복받음
KinkyDungeonRepNameBlessed,축복받음
KinkyDungeonStatDesc8,처벌의 기회 없이 한 층에 한 번 신사 분수에서 마나를 마실 수 있습니다.
KDFilterFiltersCursed,저주받음
KinkyDungeonRepNameCursed,저주받음
KinkyCursed,저주받음
KDVarPrefCursed,저주받음
KinkyDungeonStat9,저주받음
KinkyDungeonStatDesc9,여신의 평판은 25를 초과할 수 없습니다.
KinkyDungeonStat10,순종적임
KDPersonalitySub,순종적임
KinkyDungeonStatDesc10,당신의 복종은 100에서 시작하여 70 아래로 내려갈 수 없습니다.
KinkyDungeonRepNameFactionCursed,수배당함
KinkyDungeonFactionRebel,수배당함
KinkyDungeonStat11,수배당함
KinkyDungeonStatDesc11,당신의 보안 수준은 100에서 시작하며 70 아래로 내려갈 수 없습니다.
KinkyDungeonStat12,신중함
KinkyDungeonStatDesc12,당신은 +1 주문 포인트를 가지고 게임을 시작합니다. 당신의 처음 두 주문 카테고리는 무료입니다.
KinkyDungeonStat13,심사 숙고
KinkyDungeonStatDesc13,천천히 마나를 최대 50까지 재생합니다.
KinkyDungeonFilterwill,의지력
KDStatBuyWP,의지력
KinkyDungeonStat14,의지력
KDPrisonerStat_Willpower,의지력
KinkyDungeonShrineDetermination,의지력
KinkyDungeonStatDesc14,높은 흥분 상태에서 스태미나 소모량 -50%.
KinkyDungeonStat15,본디지 러버
KinkyDungeonStatDesc15,탈출을 시도할 때마다 흥분합니다.
KinkyDungeonStat18,집중 회피
KinkyDungeonStatDesc18,미스캐스팅 확률이 0%일 때 회피 +40를 얻습니다.
KinkyDungeonStat19,산만함
KinkyDungeonSexyMode0,산만함
KinkyDungeonStatDesc19,미스캐스팅 확률 +15%(합연산)
KinkyDungeonStat20,싸움꾼
KinkyDungeonStatDesc20,비무장 공격은 +10의 피해를 입히고 묶인 상태에서는 비무장 피해가 감소하지 않습니다.
KinkyDungeonStatUnarmedGrope,부드러운 길
KinkyDungeonStatDescUnarmedGrope,비무장 공격은 인간에게 더듬이 피해를 입힙니다.
KinkyDungeonStatUnarmedPain,스팽크의 길
KinkyDungeonStatDescUnarmedPain,비무장 공격은 인간에게 고통 피해를 줍니다.
KinkyDungeonStatUnarmedTickle,깃털의 길
KinkyDungeonStatDescUnarmedTickle,비무장 공격은 인간에게 간지럼 피해를 줍니다.
KinkyDungeonStatUnarmedSuck,무해한
KinkyDungeonStatDescUnarmedSuck,비무장 공격은 피해를 절반으로 줄이고 스태미나를 2배로 소모합니다.
KinkyDungeonStat21,어설픔
KinkyDungeonStatDesc21,0.7배 기본 정확도
KinkyDungeonStatUnfocused,흐릿함
KinkyDungeonStatDescUnfocused,"산만함이 10%를 넘으면 정확도가 0.9배, 산만함이 90%에 도달하면 0.6배로 감소합니다."
KinkyDungeonStatFocused,집중 공격
KinkyDungeonStatDescFocused,분산으로 인해 회전 무기에 대한 정확도 페널티가 90% 감소합니다.
KinkyDungeonStatFocusedStaff,집중력
KinkyDungeonStatDescFocusedStaff,지팡이와 유사한 무기의 분산 시 스태미나 비용 감소 90%.
KinkyDungeonStat22,깨끗한
KinkyDungeonStatDesc22,던전에는 눈부시게 빛나는 물건이 훨씬 적습니다.
KinkyDungeonStat23,잃어버린 기술
KinkyDungeonStatDesc23,고대 동력 코어는 사용하면 부서지며 재충전할 수 없습니다.
KinkyDungeonStat26,언체인드
KinkyDungeonStatDesc26,높은 금속 평판으로 시작하며 모든 금속 구속에서 벗어나기가 더 쉽습니다.
KinkyDungeonStat27,사슬에 묶인 소녀
KinkyDungeonStatDesc27,금속 구속은 탈출하기가 더 어렵습니다.
KinkyDungeonStatForgetful,잊기 쉬운
KinkyDungeonStatDescForgetful,당신은 당신이 레벨에서 어디에 있었는지 기억하지 못합니다. 30턴 타이머.
KinkyDungeonStatCursedLocks,저주받은 자물쇠
KinkyDungeonStatDescCursedLocks,열쇠가 없는 자들은 자물쇠의 분노에 직면하게 될 것입니다. 잠긴 아이템은 자를 수 없으며 투쟁하기가 더 어렵습니다.
KDCursedLocks,자물쇠의 마법 수호물이 아이템을 보호합니다.
KinkyDungeonStatUndeniable,거부할 수 없는
KinkyDungeonStatDescUndeniable,강한 복종 욕구를 가지고 태어나 선택성 속박 이벤트를 거부할 수 없습니다.
KinkyDungeonStatFranticStruggle,광란의 투쟁
KinkyDungeonStatDescFranticStruggle,탈출 속도가 3배 빨라지지만 스태미나 효율은 떨어집니다.
KinkyDungeonStat28,탈출 아티스트
KinkyDungeonStatDesc28,높은 로프 평판으로 시작하며 모든 로프 속박에서 더 쉽게 탈출할 수 있습니다.
KinkyDungeonStat29,로프 버니
KinkyDungeonStatDesc29,로프 구속으로부터 탈출하기가 더 어렵습니다.
KinkyDungeonStat30,미끄러운
KinkyDungeonStatDesc30,높은 라텍스 평판으로 시작하며 모든 라텍스 구속에서 벗어나기가 더 쉽습니다.
KinkyDungeonStat31,라텍스 인형
NameAllyDoll,라텍스 인형
KinkyDungeonStatDesc31,라텍스 구속으로부터 탈출하기가 더 어렵습니다.
KinkyDungeonStat32,탈출자
KinkyDungeonStatDesc32,높은 가죽 평판으로 시작하며 모든 가죽 구속에서 벗어나기가 더 쉽습니다.
KinkyDungeonStat33,가죽 바인딩
KinkyDungeonStatDesc33,가죽 구속으로부터 탈출하기가 더 어렵습니다.
KinkyDungeonStat34,살해자
KinkyDungeonStatDesc34,두 배의 비용으로 구성 요소 없이 엘리멘탈 주문을 시전할 수 있습니다. Firebolt로 w/ 시작하십시오.
KDLoreLabelen.Conjure,마법사
KinkyDungeonStat35,마법사
KinkyDungeonStatDesc35,두 배의 비용으로 구성 요소 없이 Conjuration 주문을 시전할 수 있습니다. Conjure Chain으로 w/ 시작하십시오.
KinkyDungeonStat36,마술사
NameWardenMage,마술사
KinkyDungeonStatDesc36,구성 요소가 없어도 두 배의 비용으로 일루젼 주문을 시전할 수 있습니다. Shadow Dagger w/ 로 시작하십시오.
KinkyDungeonStat37,기면증
KinkyDungeonStatDesc37,시간이 지남에 따라 천천히 스태미나를 잃습니다.
KinkyDungeonStat38,스텔스 미션
KinkyDungeonStatDesc38,당신을 감지하기가 더 어렵고 상자가 더 많지만 적들은 체력이 50% 더 많고 회피가 더 뛰어나며 금을 드롭하지 않습니다.
KinkyDungeonStatCommonToyEdge,가장자리 애호가들
KinkyDungeonStatDescCommonToyEdge,당신을 묶을 수 있는 모든 인간형 적이 가장자리 장난감을 사용합니다.
KinkyDungeonStatCommonToyDeny,거부 애호가들
KinkyDungeonStatDescCommonToyDeny,당신을 묶을 수 있는 모든 인간형 적이 거부 장난감을 사용합니다.
KinkyDungeonStatCommonToyPleasure,쾌락 애호가들
KinkyDungeonStatDescCommonToyPleasure,당신을 묶을 수 있는 모든 인간형 적이 즐거운 장난감을 사용합니다.
KinkyDungeonStatCommonToyTease,놀리는 연인들
KinkyDungeonStatDescCommonToyTease,당신을 묶을 수 있는 모든 인간형 적이 놀리는 장난감을 사용합니다.
KinkyDungeonStatCommonLatex,라텍스 애호가들
KinkyDungeonStatDescCommonLatex,당신을 묶을 수 있는 모든 인간형 적이 라텍스 구속을 사용합니다.
KinkyDungeonStatCommonLeather,가죽 애호가들
KinkyDungeonStatDescCommonLeather,당신을 구속할 수 있는 모든 인간형 적이 가죽 구속을 사용합니다.
KinkyDungeonStatCommonWolf,늑대소녀 애호가들
KinkyDungeonStatDescCommonWolf,당신을 묶을 수 있는 모든 인간형 적이 늑대소녀 구속을 사용합니다.
KinkyDungeonStatCommonMaid,메이드 애호가들
KinkyDungeonStatDescCommonMaid,당신을 구속할 수 있는 모든 인간형 적이 메이드 구속을 사용합니다.
KinkyDungeonStatCommonDress,드레스 애호가들
KinkyDungeonStatDescCommonDress,당신을 속박할 수 있는 모든 인간형 적이 드레스 구속을 사용합니다.
KinkyDungeonStatCommonKitty,고양이 애호가들
KinkyDungeonStatDescCommonKitty,당신을 묶을 수 있는 모든 인간형 적이 고양이 구속을 사용합니다.
KinkyDungeonStatCommonExp,고급 라텍스 애호가들
KinkyDungeonStatDescCommonExp,당신을 묶을 수 있는 모든 인간형 적이 고급 라텍스 구속을 사용합니다.
KinkyDungeonStat39,눈에띔
KinkyDungeonStatDesc39,적들이 당신을 더 쉽게 감지합니다.
KinkyDungeonStat40,바운드 파워
KinkyDungeonStatDesc40,"피해와 회피는 착용한 구속의 수에 따라 증가하며, 완전히 구속되면 최대 +40%까지 증가합니다."
KinkyDungeonStat41,킬 스쿼드
KinkyDungeonStatDesc41,적의 시야 범위와 시야 반경이 증가합니다.
KinkyDungeonStat42,슈퍼마켓
KinkyDungeonStat46,슈퍼마켓
KinkyDungeonStatDesc42,상거래 사원이 등장할 수 있으며 약간 더 많은 품목을 판매합니다.
KinkyDungeonStatDesc46,상거래 사원이 등장할 수 있으며 약간 더 많은 품목을 판매합니다.
KinkyDungeonStat47,바가지 요금 부과
KinkyDungeonStat43,바가지 요금 부과
KinkyDungeonStatDesc47,아이템은 상점에서 5배 더 비쌉니다.
KinkyDungeonStatDesc43,아이템은 상점에서 5배 더 비쌉니다.
KinkyDungeonStat48,높은 보안
KinkyDungeonStatDesc48,따개는 더 약하고 무작위로 생성된 자물쇠는 더 가혹합니다.
KinkyDungeonStat49,조잡한 칼
KinkyDungeonStatDesc49,칼이 더 쉽게 부러집니다.
KinkyDungeonStat50,압박
KinkyDungeonStatDesc50,귀신은 당신을 도울 가능성이 적습니다.
KinkyDungeonStat51,수색대
KinkyDungeonStatDesc51,수면 중에 더 많은 적이 생성됩니다.
KinkyDungeonStat52,도망칠 수 없어
KinkyDungeonStatDesc52,적들은 의지력에 관계없이 가능한 가장 엄격한 구속을 항상 사용합니다. 보안 수준 +10.
KinkyDungeonStat53,민첩한 발놀림
KinkyDungeonStatDesc53,"뒤꿈치나 슬라임으로 인해 약간 느려지는 것에 대한 몇 가지 결과는 무시할 수 있으며, 50%의 미스캐스트 확률로 심하게 느려지는 동안 다리 주문을 시전할 수 있습니다."
KinkyDungeonStatPoorForm,형편없는 자세
KinkyDungeonStatDescPoorForm,느린 효과가 증폭됩니다.
KinkyDungeonStatSomaticMinus,조화 부족
KinkyDungeonStatDescSomaticMinus,팔 주문을 시전하려면 손과 팔이 모두 자유로워야 합니다. 손 구속이 당신에게 더 효과적입니다.
KinkyDungeonStatSomaticPlus,재빠른 손놀림
KinkyDungeonStatDescSomaticPlus,손이 묶이지 않은 상태에서 손가락만 사용해서 팔 주문을 시전할 수 있습니다.
KinkyDungeonStat54,잘 갖춰짐
KinkyDungeonStatDesc54,레벨 제한이 있는 구속과 함정이 더 빨리 나타나고 적들은 일반적으로 더 많은 구속을 쌓습니다. 보안 수준 +10.
KinkyDungeonStat55,퀵 드로우
KinkyDungeonStatDesc55,무기와 주문을 바꾸는 것에 턴이 소모되지 않습니다.
KinkyDungeonStat56,퀵 스크라이브
KinkyDungeonStatDesc56,주문을 전환하고 주문서를 시전하는 것에 턴이 소모되지 않습니다.
KinkyDungeonStat57,무질서한
KinkyDungeonStatDesc57,"무기 전환, 주문 학습/선택, 주문서에서 시전하는 데 3턴이 걸립니다."
KinkyDungeonStatSavourTheTaste,맛을 음미하다
KinkyDungeonStatDescSavourTheTaste,포션을 마시는 데 2턴이 걸린다
KinkyDungeonStatMagicHands,마법의 손
KinkyDungeonStatDescMagicHands,적들은 기존 구속 아래에 구속을 추가할 수 있습니다.
KinkyDungeonStatStartLatexIntegration,완전 통합
KinkyDungeonStatDescStartLatexIntegration,당신의 몸이 라텍스의 접착층에 봉인된 상태로 시작합니다.
KinkyDungeonStatStartCyberDollStorage,인형 가공
KinkyDungeonStatDescStartCyberDollStorage,시설 안으로 봉인되기 위해 컨베이어 벨트 위에 올라 시작합니다.
KinkyDungeonStatStartCyberDoll,사이버 인형
KinkyDungeonStatDescStartCyberDoll,풀 사이버 구속 상태로 시작합니다.
KinkyDungeonStatFuukaCollar,후우카의 애완동물
KinkyDungeonStatDescFuukaCollar,후우카의 목줄과 약간의 구속구를 착용하고 시작합니다.
KinkyDungeonStatCommonFuuka,후우카 팬클럽
KinkyDungeonStatDescCommonFuuka,당신을 구속할 수 있는 모든 인간형 적이 후우카의 특별한 구속을 사용합니다.
KinkyDungeonStatWardenBelt,수집된
KinkyDungeonStatDescWardenBelt,주문 오브를 더럽히면 처벌하는 간수의 특별한 벨트로 시작하십시오.
KinkyDungeonStatCommonWarden,집행자
KinkyDungeonStatDescCommonWarden,당신을 구속할 수 있는 모든 인간형 적이 교도관의 수갑을 착용합니다.
KinkyDungeonStatCommonCyber,인형 제작자의 하수인
KinkyDungeonStatDescCommonCyber,당신을 구속할 수 있는 모든 인간형 적이 사이버 인형 구속을 사용합니다.
KinkyDungeonStatDollmakerVisor,돌 헌터 V
KinkyDungeonStatDescDollmakerVisor,당신은 Dollmaker's Visor로 시작합니다.
KinkyDungeonStatDollmakerMask,돌 헌터 M
KinkyDungeonStatDescDollmakerMask,당신은 Dollmaker's Mask로 시작합니다.
KinkyDungeonStatStartShadow,끊임없는 욕망
KinkyDungeonStatDescStartShadow,당신의 어두운 욕망은 끝이 없습니다.
KinkyDungeonStatSugarRush,슈가 러쉬
KinkyDungeonStatDescSugarRush,사탕을 먹으면 초조해지고 스태미나 비용이 줄어들고 무료 이동이 가능합니다.
KinkyDungeonStatVengeance,복수
KinkyDungeonStatDescVengeance,적을 물리치면 정신이 산만해집니다.
KinkyDungeonStatBerserkerRage,버서커 레이지
KinkyDungeonStatDescBerserkerRage,근접 공격은 주의를 분산시키지만 근접(체인 포함) 피해는 최대 분산 시 최대 30%까지 증가합니다.
KinkyDungeonStatUnstableMagic,불안정한 마법
KinkyDungeonStatDescUnstableMagic,산만함 또는 잘못 시전할 확률에 따라 주문이 최대 30%까지 추가 피해를 입힙니다.
KinkyDungeonStatAbsoluteFocus,완벽한 집중
KinkyDungeonStatDescAbsoluteFocus,미스캐스트 확률이 2배가 됩니다.
KinkyDungeonStatBoundCrusader,바운드 크루세이더
KinkyDungeonStatDescBoundCrusader,여신은 퀘스트를 수락하면 구속을 장비합니다.
KinkyDungeonStatNowhere,안전한 곳은 없다
KinkyDungeonStatDescNowhere,침대와 가구는 종종 함정이 됩니다.
KinkyDungeonStatQuakeCollar,퀘이크후프 어소시에이트
KinkyDungeonStatDescQuakeCollar,자신을 가지고 놀면 마나를 회복하는 Epsilon Collar로 시작하십시오.
RestraintQuakeCollar,엡실론 목걸이
RestraintQuakeCollarDesc,복종하는 사람 중에서도 가장 권위 있는 사람들을 위해 예약된 목걸이.
RestraintQuakeCollarDesc2,자신과 함께 플레이하면 마나를 회복하지만 혼란을 증가시킵니다. 욕구가 한계 이하일 때만 작동합니다.
KinkyDungeonStatBulletHell,불릿 헬
KinkyDungeonStatDescBulletHell,비-AoE 총알과 발사체의 경고선을 숨깁니다.
KinkyDungeonStatBulletHell2,불릿 아르마게돈
KinkyDungeonStatDescBulletHell2,"AoE 주문, 총알 및 투사체에 대한 경고선을 숨깁니다."
KinkyDungeonStatNeeds,나는... 욕구가 있다
KinkyDungeonStatDescNeeds,산만함은 시간이 지남에 따라 쌓입니다.
KinkyDungeonStatHopeless,절망적임
KinkyDungeonStatDescHopeless,의지력은 시간이 지남에 따라 쇠퇴합니다.
KinkyDungeonStatQuickness,민첩
KinkyDungeonStatDescQuickness,4턴 동안 움직이지 않으면 순발력을 얻습니다. 순발력을 사용하면 시간을 재지 않고 1칸 이동할 수 있습니다.
KinkyDungeonStatMapLarge,광대한 홀
KinkyDungeonStatDescMapLarge,장차원 3으로 맵 크기를 늘립니다. 맵이 덜 밀도가 높아집니다.
KinkyDungeonStatMapHuge,거대한 홀
KinkyDungeonStatDescMapHuge,장차원(long dimension)에서 지도의 크기를 6씩 늘립니다. 지도에는 터널과 막다른길이 혼합되어 있습니다.
KinkyDungeonStatMapGigantic,미로 같은 홀
KinkyDungeonStatDescMapGigantic,긴 차원에서 맵 크기를 9만큼 늘립니다. 맵은 주로 터널이 됩니다.
KinkyDungeonStatMapAbsurd,터무니없이 큰 지도
KinkyDungeonStatDescMapAbsurd,(실험적) 지도를 정말 정말 크게 만듭니다. 게임을 깨뜨릴 가능성이 높습니다.
KinkyDungeonStat24,리거
KinkyDungeonStatDesc24,적에게 바인딩이 30% 더 강합니다.
KinkyDungeonStat25,평화주의자
KinkyDungeonStatDesc25,인형 적에게 가해지는 모든 피해는 놀림 피해와 고통/더듬이/간지럼/매력/심령/체인/글루 피해를 제외하고 90% 감소합니다.
KinkyDungeonStatCurseSeeker,저주 탐색기
KinkyDungeonStatDescCurseSeeker,상자에서 저주받은 갑옷이나 구속구를 집으면 장착할 수 있다면 자동으로 장착됩니다.
KinkyDungeonStatBurningDesire,불타는 욕망
KinkyDungeonStatDescBurningDesire,혼란이 70% 이상인 동안 근처의 물체를 발화시키고 화염 피해가 +25% 증가합니다.
KinkyDungeonStatFrigidPersonality,냉담한 성격
KinkyDungeonStatDescFrigidPersonality,산만함이 10% 미만일 때 얼음 피해가 +10% 증가하고 페널티 없이 얼음 위를 걸을 수 있습니다.
KinkyDungeonStatGroundedInReality,현실에 근거
KinkyDungeonStatDescGroundedInReality,마나가 최대일 때 공격이 기본 피해의 30%를 전기 피해로 추가로 입힙니다.
KinkyDungeonStatLikeTheWind,바람처럼
KinkyDungeonStatDescLikeTheWind,스태미나가 95% 이상일 때 회피 +30을 얻고 둔화 수준이 1 감소합니다.
KinkyDungeonStatImmovableObject,움직일 수 없는 물체
KinkyDungeonStatDescImmovableObject,의지가 90% 이상인 동안 속박 저항 +150을 얻고 땅 버프 주문이 마나의 절반을 소비합니다.
KinkyDungeonStatLeastResistance,최소 저항의 길
KinkyDungeonStatDescLeastResistance,"기력이 0일 때 회피 +35, 적이 당신을 구속할 때 최대 기력의 20%를 비누 피해로 입힙니다."
KinkyDungeonStatSticky,딱딱한 상황
KinkyDungeonStatDescSticky,접착제 피해를 40% 더 받습니다.
KinkyDungeonStatBreathless,숨가쁜
KinkyDungeonStatDescBreathless,"쇠사슬, 독, 크러쉬 데미지를 받으면 현기증이 난다."
KinkyDungeonStatKinkyPrison,변태 죄수
KinkyDungeonStatDescKinkyPrison,경비원은 더 단단한 것이 없으면 구속을 풀지 않을 것입니다. 보안 수준 +10.
KinkyDungeonStatDoorknobs,불공평한 문
KinkyDungeonStatDescDoorknobs,손이 묶인 상태에서는 문을 열기가 더 어렵습니다.
KDDoorknobFail,문고리를 쓸데없이 덜컥 덜컥 덜컥 덜컥거리다가 결국 문을 쾅 치고 포기합니다.
KDDoorknobFailArms,문 손잡이를 제대로 잡을 수 없습니다.
KDDoorknobAttract,누군가 당신이 두드리는 소리를 듣고 반대편에서 문을 엽니다!
